id,name,description,category,muscles,muscles_secondary,equipment,images,difficulty,style
57,Bear Walk,"<p>-Rest your weight on your palms and the balls of your feet, not dissimilar to normal pushup position</p>
<p>-Move by stepping with your R palm and L foot, then your L palm and R foot.  Basically, walk like a lumbering bear.</p>
<p>-Move as fast as you can.  Measure your reps/sets in either distance (i.e. 40 yards) or time (i.e. 45 seconds)</p>
<p>-Works your Pecs, Deltoids, Triceps, Traps, Lats, Abs and Lower Back, Hip Flexors, Quads, Glutes and Calves</p>",Chest,"[2, 7, 4, 6, 3, 15, 5]","[8, 12, 14, 10, 9]",[7],[],beginner,['mixed']
31,Axe Hold,<p>Grab dumbbells and extend arms to side and hold as long as you can</p>,Arms,[],[],[3],[],beginner,['mixed']
56,Abdominal Stabilization,,Abs,[6],[14],[4],[],beginner,['mixed']
805,Tricep Pushdown on Cable,"The cable rope push-down is a popular exercise targeting the triceps muscles. It's easy to learn and perform, making it a favorite for everyone from beginners to advanced lifters. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an upper-body or arm-focused workout.",Arms,[5],[],[],[],beginner,['mixed']
981,Step-ups,<p>Starting position:</p><p>Stand facing a chair.</p><p>Steps:</p><ol><li>Step up onto the chair.</li><li>Step off the chair.</li><li>Repeat.</li></ol>,Legs,[],[],[8],[],beginner,['mixed']
980,commando pull-ups,"variation of the pull-up exercise, it is performed with a grip of one hand supine and one hand prone,&nbsp;do not twist the torso to get back to the front, the head passes once to one side, once to the other.",Abs,"[2, 1, 12, 9]",[],[6],[],beginner,['mixed']
1022,Single Arm Plank to Row,"Start position as row, extend to plank and back. Finish with row and repeat",Back,"[2, 1, 13, 12, 14, 6, 3]",[],[10],"['https://wger.de/media/exercise-images/1022/f74644fa-f43e-46bd-8603-6e3a2ee8ee2d.jpg', 'https://wger.de/media/exercise-images/1022/eef8fb9d-ae72-4e23-81da-4d62f2734332.jpg']",beginner,['mixed']
820,Fingerboard 20 mm edge,Hang for 10 seconds on a fingerboard with a 20 mm edge,Arms,[],[],[],[],beginner,['mixed']
822,Cable Rear Delt Fly,"<p style="""">The reverse cable fly, also known as the cable rear delt fly, is a deltoid muscle strengthening and definition exercise. It’s one of the best isolation exercises for your back and posterior deltoid.This workout targets your posterior (back) deltoids while using a range of upper body muscles.</p><p style=""""></p><ol><li>Adjust the weight and the pulleys to the right height. You should be able to see the pulleys because they should be above your head.</li><li>With your right hand, grab the left pulley, and with your left hand, grab the right pulley, crossing them in front of you. This is where you’ll begin your journey.</li><li>Start the movement by moving your arms back and forth while keeping your arms straight.</li><li>Pause at the finish of the move for a brief moment before returning the handles to their starting positions.</li></ol><p></p>",Shoulders,"[2, 9]",[5],[],"['https://wger.de/media/exercise-images/822/74affc0d-03b6-4f33-b5f4-a822a2615f68.png', 'https://wger.de/media/exercise-images/822/6a770e5d-cd62-4754-a18c-eebe2103d7c5.png']",beginner,['mixed']
828,Incline Bench Reverse Fly - Hello,"The incline dumbbell reverse fly is an upper-body exercise targeting the posterior or rear deltoids, as well as the postural muscles of the upper back. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more.",Back,"[2, 9]",[],[3],"['https://wger.de/media/exercise-images/828/2e959dab-f39b-4c7c-9063-eb43064ab5eb.png', 'https://wger.de/media/exercise-images/828/abfc7700-fadf-4f2d-ac84-e045e590a2fe.png']",beginner,['mixed']
907,Handstand Push Up,Handstands Push Up which demand high level of skill,Shoulders,"[2, 5]",[4],[],[],beginner,['mixed']
908,Zone 2 Running,"Zone two Cardio for endurance, you should be able to speak while running",Cardio,[],[],[],[],beginner,['mixed']
923,LYING DUMBBELL ROW SS SEATED SHRUG,laying on the stomach on a bench with slight angle,Back,[12],[],[3],[],beginner,['mixed']
927,Suspended crossess,Suspension exercise with trx for chest training,Cardio,[4],[],[7],['https://wger.de/media/exercise-images/927/7b392101-9c47-4693-935e-a88b1887eec5.jpg'],beginner,['mixed']
958,Biceps with TRX,"Grab the handles of the TRX straps, lean your body back, arms and legs extended, with your body positioned in a single straight line. (This is an arm exercise, not an abdominal one.)",Abs,[1],[],[7],"['https://wger.de/media/exercise-images/958/947ac249-475d-44ed-bed3-8dc433374f59.png', 'https://wger.de/media/exercise-images/958/95f2bbc4-2f95-476d-a9b8-81b333fe2ef5.png', 'https://wger.de/media/exercise-images/958/dfad24f7-3f6f-497c-8436-7dfd909bca3f.png']",beginner,['mixed']
960,Kettlebell Swing,"While kettlebell swings are a full-body workout, they mostly target the muscles along the posterior chain (back of the body). The main muscles used are the glutes, hamstrings, spinal erectors, and muscles of the upper back.",Abs,"[2, 8]","[10, 6, 9]",[10],[],beginner,['mixed']
961,Swimming 50m sprints,50m swimming sprints at 1min,Cardio,[],[],[],[],beginner,['mixed']
962,Elliptical,"It improves muscle toning, strengthens the leg muscles (quads, glutes, calves), helps vascularisation and increases resistance. The elliptical is also very useful if you aim to lose weight.",Cardio,"[8, 10, 9]","[1, 6, 5]",[7],[],beginner,['mixed']
